,S&P 500 Price,,,DAX Price
01-02-18,2821.98,,01-02-18,13003.9
02-02-18,2762.13,,02-02-18,12785.16
03-02-18,2762.13,,03-02-18,12785.16
04-02-18,2762.13,,04-02-18,12785.16
05-02-18,2648.94,,05-02-18,12687.49
06-02-18,2695.14,,06-02-18,12392.66
07-02-18,2681.66,,07-02-18,12590.43
08-02-18,2581,,08-02-18,12260.29
09-02-18,2619.55,,09-02-18,12107.48
10-02-18,2619.55,,10-02-18,12107.48
11-02-18,2619.55,,11-02-18,12107.48
12-02-18,2656,,12-02-18,12282.77
13-02-18,2662.94,,13-02-18,12196.5
14-02-18,2698.63,,14-02-18,12339.16
15-02-18,2731.2,,15-02-18,12346.17
16-02-18,2732.22,,16-02-18,12451.96
17-02-18,2732.22,,17-02-18,12451.96
18-02-18,2732.22,,18-02-18,12451.96
19-02-18,2732.22,,19-02-18,12385.6
20-02-18,2716.26,,20-02-18,12487.9
21-02-18,2701.33,,21-02-18,12470.49
22-02-18,2703.96,,22-02-18,12461.91
23-02-18,2747.3,,23-02-18,12483.79
24-02-18,2747.3,,24-02-18,12483.79
25-02-18,2747.3,,25-02-18,12483.79
26-02-18,2779.6,,26-02-18,12527.04
27-02-18,2744.28,,27-02-18,12490.73
28-02-18,2713.83,,28-02-18,12435.85
01-03-18,2677.67,,01-03-18,12190.94
02-03-18,2691.25,,02-03-18,11913.71
03-03-18,2691.25,,03-03-18,11913.71
04-03-18,2691.25,,04-03-18,11913.71
05-03-18,2720.94,,05-03-18,12090.87
06-03-18,2728.12,,06-03-18,12113.87
07-03-18,2726.8,,07-03-18,12245.36
08-03-18,2738.97,,08-03-18,12355.57
09-03-18,2786.57,,09-03-18,12346.68
10-03-18,2786.57,,10-03-18,12346.68
11-03-18,2786.57,,11-03-18,12346.68
12-03-18,2783.02,,12-03-18,12418.39
13-03-18,2765.31,,13-03-18,12221.03
14-03-18,2749.48,,14-03-18,12237.74
15-03-18,2747.33,,15-03-18,12345.56
16-03-18,2752.01,,16-03-18,12389.58
17-03-18,2752.01,,17-03-18,12389.58
18-03-18,2752.01,,18-03-18,12389.58
19-03-18,2712.92,,19-03-18,12217.02
20-03-18,2716.94,,20-03-18,12307.33
21-03-18,2711.93,,21-03-18,12309.15
22-03-18,2643.69,,22-03-18,12100.08
23-03-18,2588.26,,23-03-18,11886.31
24-03-18,2588.26,,24-03-18,11886.31
25-03-18,2588.26,,25-03-18,11886.31
26-03-18,2658.55,,26-03-18,11787.26
27-03-18,2612.62,,27-03-18,11970.83
28-03-18,2605,,28-03-18,11940.71
29-03-18,2640.87,,29-03-18,12096.73
30-03-18,2640.87,,30-03-18,12096.73
31-03-18,2640.87,,31-03-18,12096.73
01-04-18,2640.87,,01-04-18,12096.73
02-04-18,2581.88,,02-04-18,12096.73
03-04-18,2614.45,,03-04-18,12002.45
04-04-18,2644.69,,04-04-18,11957.9
05-04-18,2662.84,,05-04-18,12305.19
06-04-18,2604.47,,06-04-18,12241.27
07-04-18,2604.47,,07-04-18,12241.27
08-04-18,2604.47,,08-04-18,12241.27
09-04-18,2613.16,,09-04-18,12261.75
10-04-18,2656.87,,10-04-18,12397.32
11-04-18,2642.19,,11-04-18,12293.97
12-04-18,2663.99,,12-04-18,12415.01
13-04-18,2656.3,,13-04-18,12442.4
14-04-18,2656.3,,14-04-18,12442.4
15-04-18,2656.3,,15-04-18,12442.4
16-04-18,2677.84,,16-04-18,12391.41
17-04-18,2706.39,,17-04-18,12585.57
18-04-18,2708.64,,18-04-18,12590.83
19-04-18,2693.13,,19-04-18,12567.42
20-04-18,2670.14,,20-04-18,12540.5
21-04-18,2670.14,,21-04-18,12540.5
22-04-18,2670.14,,22-04-18,12540.5
23-04-18,2670.29,,23-04-18,12572.39
24-04-18,2634.56,,24-04-18,12550.82
25-04-18,2639.4,,25-04-18,12422.3
26-04-18,2666.94,,26-04-18,12500.47
27-04-18,2669.91,,27-04-18,12580.87
28-04-18,2669.91,,28-04-18,12580.87
29-04-18,2669.91,,29-04-18,12580.87
30-04-18,2648.05,,30-04-18,12612.11
01-05-18,2654.8,,01-05-18,12612.11
02-05-18,2635.67,,02-05-18,12802.25
03-05-18,2629.73,,03-05-18,12690.15
04-05-18,2663.42,,04-05-18,12819.6
05-05-18,2663.42,,05-05-18,12819.6
06-05-18,2663.42,,06-05-18,12819.6
07-05-18,2672.63,,07-05-18,12948.14
08-05-18,2671.92,,08-05-18,12912.21
09-05-18,2697.79,,09-05-18,12943.06
10-05-18,2723.07,,10-05-18,13022.87
11-05-18,2727.72,,11-05-18,13001.24
12-05-18,2727.72,,12-05-18,13001.24
13-05-18,2727.72,,13-05-18,13001.24
14-05-18,2730.13,,14-05-18,12977.71
15-05-18,2711.45,,15-05-18,12970.04
16-05-18,2722.46,,16-05-18,12996.33
17-05-18,2720.13,,17-05-18,13114.61
18-05-18,2712.97,,18-05-18,13077.72
19-05-18,2712.97,,19-05-18,13077.72
20-05-18,2712.97,,20-05-18,13077.72
21-05-18,2733.01,,21-05-18,13077.72
22-05-18,2724.44,,22-05-18,13169.92
23-05-18,2733.29,,23-05-18,12976.84
24-05-18,2727.76,,24-05-18,12855.09
25-05-18,2721.33,,25-05-18,12938.01
26-05-18,2721.33,,26-05-18,12938.01
27-05-18,2721.33,,27-05-18,12938.01
28-05-18,2721.33,,28-05-18,12863.46
29-05-18,2689.86,,29-05-18,12666.51
30-05-18,2724.01,,30-05-18,12783.76
31-05-18,2705.27,,31-05-18,12604.89
01-06-18,2734.62,,01-06-18,12724.27
02-06-18,2734.62,,02-06-18,12724.27
03-06-18,2734.62,,03-06-18,12724.27
04-06-18,2746.87,,04-06-18,12770.75
05-06-18,2748.8,,05-06-18,12787.13
06-06-18,2748.8,,06-06-18,12839.78
