,S&P 500 Price,,,DAX Price
04-10-16,2150.49,,04-10-16,10619.61
05-10-16,2159.73,,05-10-16,10585.78
06-10-16,2160.77,,06-10-16,10568.8
07-10-16,2153.74,,07-10-16,10490.86
08-10-16,2153.74,,08-10-16,10490.86
09-10-16,2153.74,,09-10-16,10490.86
10-10-16,2163.66,,10-10-16,10624.08
11-10-16,2136.73,,11-10-16,10577.16
12-10-16,2139.18,,12-10-16,10523.07
13-10-16,2132.55,,13-10-16,10414.07
14-10-16,2132.98,,14-10-16,10580.38
15-10-16,2132.98,,15-10-16,10580.38
16-10-16,2132.98,,16-10-16,10580.38
17-10-16,2126.5,,17-10-16,10503.57
18-10-16,2139.6,,18-10-16,10631.55
19-10-16,2144.29,,19-10-16,10645.68
20-10-16,2141.34,,20-10-16,10701.39
21-10-16,2141.16,,21-10-16,10710.73
22-10-16,2141.16,,22-10-16,10710.73
23-10-16,2141.16,,23-10-16,10710.73
24-10-16,2151.33,,24-10-16,10761.17
25-10-16,2143.16,,25-10-16,10757.31
26-10-16,2139.43,,26-10-16,10709.68
27-10-16,2133.04,,27-10-16,10717.08
28-10-16,2126.41,,28-10-16,10696.19
29-10-16,2126.41,,29-10-16,10696.19
30-10-16,2126.41,,30-10-16,10696.19
31-10-16,2126.15,,31-10-16,10665.01
01-11-16,2111.72,,01-11-16,10526.16
02-11-16,2097.94,,02-11-16,10370.93
03-11-16,2088.66,,03-11-16,10325.88
04-11-16,2085.18,,04-11-16,10259.13
05-11-16,2085.18,,05-11-16,10259.13
06-11-16,2085.18,,06-11-16,10259.13
07-11-16,2131.52,,07-11-16,10456.95
08-11-16,2139.56,,08-11-16,10482.32
09-11-16,2163.26,,09-11-16,10646.01
10-11-16,2167.48,,10-11-16,10630.12
11-11-16,2164.45,,11-11-16,10667.95
12-11-16,2164.45,,12-11-16,10667.95
13-11-16,2164.45,,13-11-16,10667.95
14-11-16,2164.2,,14-11-16,10693.69
15-11-16,2180.39,,15-11-16,10735.14
16-11-16,2176.94,,16-11-16,10663.87
17-11-16,2187.12,,17-11-16,10685.54
18-11-16,2181.9,,18-11-16,10664.56
19-11-16,2181.9,,19-11-16,10664.56
20-11-16,2181.9,,20-11-16,10664.56
21-11-16,2198.18,,21-11-16,10685.13
22-11-16,2202.94,,22-11-16,10713.85
23-11-16,2204.72,,23-11-16,10662.44
24-11-16,2204.72,,24-11-16,10689.26
25-11-16,2213.35,,25-11-16,10699.27
26-11-16,2213.35,,26-11-16,10699.27
27-11-16,2213.35,,27-11-16,10699.27
28-11-16,2201.72,,28-11-16,10582.67
29-11-16,2204.66,,29-11-16,10620.49
30-11-16,2198.81,,30-11-16,10640.3
01-12-16,2191.08,,01-12-16,10534.05
